id	family	group	lang	idiom	type	genlang_point	map	feature	value1	value1_name	value2	value2_name	example_as_in_source	example	translation_as_in_source	translation	gloss	example_comment	example_source	example_page	contributor	date
22	East Caucasian	Lezgic	Agul	Central Agul	dialect_toplevel	yes	yes	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	Х1ЕЖ'ИБУГЪДА	ħežibuʁda	кукуруза	maize			ramazanov2010	648	Samira Verhees	March 2025
63	East Caucasian	Lezgic	Agul	Khutkhul	village	no	yes	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	хIаджибугъда	ħaǯibuʁda	кукуруза	maize			DagLoans database	Khutkhul2, Khutkhul3	Samira Verhees	March 2025
52	East Caucasian	Lak	Lak	Standard Lak	lang	no	no	Maize	other	Type of name	unclear	Name origin	ПАРХХУЧ	parχːuč	жареные зёрна кукурузы	roasted maize kernels			abdullaev2018	1768	Samira Verhees	March 2025
131	East Caucasian	Lezgic	Agul	Tpig	village	no	yes	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	хIеджибугъда	ħeǯibuʁda	кукуруза	maize			DagLoans database	Tpig1	Samira Verhees	March 2025
170	East Caucasian	Nakh	Chechen	Standard Chechen	lang	no	no	Maize	other	Type of name	unclear	Name origin	хьаьаш	ħæaš	кукуруза	maize			aliroev2005	275	Samira Verhees	March 2025
69	East Caucasian	Andic	Akhvakh	Ratlub	village	no	yes	Maize	other wheat	Type of name	unclear	Name origin	ч1абакъири	čʼabaqʼiri	кукуруза	maize			magomedovaabdulaeva2007	441	Samira Verhees	March 2025
132	East Caucasian	Andic	Akhvakh	Tad-Magitl'	village	yes	yes	Maize	other wheat	Type of name	unclear	Name origin	ч1акъиру	čʼaqʼiru	кукуруза	maize			DagLoans database	Tad-Magitl1, Tad-Magitl2	Samira Verhees	March 2025
68	East Caucasian	Andic	Akhvakh	Tlyanub	village	no	yes	Maize	other wheat	Type of name	unclear	Name origin	ссессукъури	sːesːuqʼuri	кукуруза	maize			magomedovaabdulaeva2007	441	Samira Verhees	March 2025
67	East Caucasian	Andic	Akhvakh	Tsekob	village	no	yes	Maize	other wheat	Type of name	unclear	Name origin	ч1ессукъарсс	čʼesːuqʼarsː	кукуруза	maize			magomedovaabdulaeva2007	441	Samira Verhees	March 2025
70	East Caucasian	Andic	Andi	Andi	village	yes	yes	Maize	hajj-wheat	Type of name	ħæžkʼa - Chechen	Name origin	гьечIинкIа	hečʼinkʼa	кукуруза	maize			alisultanova2009	54	Samira Verhees	March 2025
71	East Caucasian	Andic	Andi	Gagatli	village	no	yes	Maize	hajj-wheat	Type of name	ħæžkʼa - Chechen	Name origin	гьеджинкӀа	heǯinkʼa	кукуруза	maize		Salimov mentions on page 42 that this is a borrowing from Chechen	salimov2010	276	Samira Verhees	March 2025
133	East Caucasian	Andic	Andi	Kvankhidatli	village	no	yes	Maize	other	Type of name	unclear	Name origin	ц1огъоркьи	cʼoʁorƛʼi	кукуруза	maize			DagLoans database	Kwankhidatli1	Samira Verhees	March 2025
72	East Caucasian	Andic	Andi	Rikvani	village	no	yes	Maize	hajj-wheat	Type of name	ħæžkʼa - Chechen	Name origin	гьеч1инк1а	hečʼinkʼa	кукуруза	maize			suleymanov1957	58	Samira Verhees	March 2025
24	East Caucasian	Andic	Andi	Zilo	village	no	yes	Maize	hajj-wheat	Type of name	ħæžkʼa - Chechen	Name origin	хӏечӏинкӏа	ħečʼinkʼa	кукуруза	maize			moroz2024		Samira Verhees	March 2025
121	East Caucasian	Lezgic	Lezgian	Ashaga-Arkhit	village	no	no	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	а1джибугъда	aˤǯibuʁda	кукуруза	maize			DagLoans database	Arkhit4	Samira Verhees	March 2025
25	East Caucasian	Lezgic	Archi	Archib	village	yes	yes	Maize	hajj-wheat	Type of name	unclear	Name origin	гьа1жыла	haˤžɨla	кукуруза	maize			chumakinaetal2007	108	Samira Verhees	March 2025
116	East Caucasian	Andic	Karata	Anchiq	village	no	no	Maize	other wheat	Type of name	unclear	Name origin	ц1окъори	cʼoqʼori	кукуруза	maize			DagLoans database	Anchikh2	Samira Verhees	March 2025
190	Indo-European	Armenic	Armenian	Kapan	village	no	yes	Maize	prophet-wheat	Type of name	pejɣæmbærbuɣda - Azeri	Name origin	kʰɑmbar'	kʰɑmbar'	кукуруза	maize			Maxim Stepanyants, p.c.		Samira Verhees	March 2025
193	Indo-European	Armenic	Armenian	Karabagly	village	no	yes	Maize	other	Type of name	kukuruza - Russian	Name origin	kukuruza	kukuruza	кукуруза	maize			p.c. with a speaker		Samira Verhees	March 2025
142	Turkic	Oghuz	Azerbaijani	Qax	village	no	no	Maize	other	Type of name	garɣɯdalɯ - Azeri	Name origin	qardalı	gardalɯ	кукуруза	maize			DagLoans database	Qax2	Samira Verhees	March 2025
26	Indo-European	Armenic	Armenian	Modern Eastern Armenian	dialect_toplevel	yes	yes	Maize	other wheat	Type of name	Egyptian wheat	Name origin	եգիպտացորեն	jegiptacʰoren	maize	maize		"Egyptian wheat", from Եգիպտոս (Egiptos) +‎ -ա- (-a-) +‎ ցորեն (cʻoren).	Wikiwand	https://www.wikiwand.com/en/dictionary/%D5%A5%D5%A3%D5%AB%D5%BA%D5%BF%D5%A1%D6%81%D5%B8%D6%80%D5%A5%D5%B6#Armenian	Samira Verhees	March 2025
192	Indo-European	Armenic	Armenian	Syunik	village	no	yes	Maize	other	Type of name	kukuruza - Russian	Name origin	kuk(u)ruz	kuk(u)ruz	кукуруза	maize			Maxim Stepanyants, p.c.		Samira Verhees	March 2025
89	East Caucasian	Avar	Avar	Andalal	dialect_nt1	no	yes	Maize	other	Type of name	garɣɯdalɯ - Azeri	Name origin	гъардали	ʁardali	кукуруза	maize			saidova2008	394	Samira Verhees	March 2025
